Time,RU
1.52,14.821
6.49,25.93
12.37,58.21
16.59,79.51
20.99,97.15
26.64,127.36
30.87,145.92
34.79,159.82
39.98,174.42
44.72,188.25
50.49,201.19
57.64,216.24
68,229.96
