Time,RU
0.48,15.89
2.81,66.5
5.79,135.51
7.26,180.7
10.32,246.37
15.02,316.52
19.86,357.91
25.83,388.62
33.71,411.66
41.56,423
50.26,429.38
58.35,432.63
67.39,432.73
