"concentration","RUeq","kobs"
1.72,442.021413752172,0.076766801019784
0.86,376.288569481693,0.0513432093592631
0.43,345.939677414744,0.0327607040342476
0.215,348.426556260854,0.0168013519709054
0.1075,177.833982109693,0.0179219040844777
