Time,RU
1.74,26.84
5.67,71.41
9.76,130.08
12.5,175.27
16.02,223.69
20.92,262.36
27.56,292.6
34.33,314.05
40.73,330.24
46.09,340.51
51.77,348.7
58.88,355.71
69.05,359.07
