Time,RU
1.6,10.32
6.68,20.87
12.65,26.45
17.56,46.55
22.78,53.43
27.06,66.39
31.62,79.35
36.65,90.75
42.26,99.74
47.17,105.75
51.95,109.59
58.27,114.66
69.03,119.78
